trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-05-21,FO,NSE,STF,ADANIENSOL,ADANIENSOL,2026-07-28,,,1394.0,1412.0,1351.2,1357.2,1351.2,1357.2,38,35443777.5,45900,7425,115,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIENSOL
2026-05-21,FO,NSE,STF,ADANIENSOL,ADANIENSOL,2026-06-30,,,1377.2,1407.0,1343.2,1352.6,1345.0,1352.6,7507,6952095742.5,6627825,3661200,141,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIENSOL
2026-05-21,FO,NSE,STF,ADANIENSOL,ADANIENSOL,2026-05-26,,,1347.0,1397.9,1334.3,1342.9,1338.1,1342.9,9005,8296007377.5,15283350,-3100275,142,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIENSOL
2026-05-21,FO,NSE,STF,GODFRYPHLP,GODFRYPHLP,2026-06-30,,,2350.0,2363.2,2278.0,2314.6,2315.1,2314.6,5082,3235688665.0,1266650,469425,287,NSE,UDIFF F&O BHAVCOPY,FUTURE,GODFRYPHLP
2026-05-21,FO,NSE,STF,GODFRYPHLP,GODFRYPHLP,2026-07-28,,,2345.0,2345.0,2285.0,2307.5,2308.8,2307.5,66,42090482.5,34650,11825,312,NSE,UDIFF F&O BHAVCOPY,FUTURE,GODFRYPHLP
2026-05-21,FO,NSE,STF,GODFRYPHLP,GODFRYPHLP,2026-05-26,,,2340.0,2380.8,2280.1,2319.0,2314.5,2319.0,5181,3311484137.5,1733325,-682275,337,NSE,UDIFF F&O BHAVCOPY,FUTURE,GODFRYPHLP
2026-05-21,FO,NSE,STF,INDHOTEL,INDHOTEL,2026-05-26,,,662.1,668.7,653.6,656.9,657.95,656.9,9309,6139279350.0,13693000,-7282000,498,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDHOTEL
2026-05-21,FO,NSE,STF,INDHOTEL,INDHOTEL,2026-06-30,,,665.35,669.05,655.1,657.85,659.55,657.85,6596,4355530750.0,8590000,5244000,535,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDHOTEL
2026-05-21,FO,NSE,STF,INDHOTEL,INDHOTEL,2026-07-28,,,669.7,669.7,660.45,662.6,663.95,662.6,2685,1782837450.0,3640000,2661000,577,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDHOTEL
2026-05-21,FO,NSE,STF,INDIANB,INDIANB,2026-07-28,,,826.35,829.0,816.9,819.6,821.1,819.6,30,24692650.0,55000,6000,668,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDIANB
