trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,320.0,PE,0.0,0.0,0.0,9.8,0.0,9.65,0,0.0,0,0,1,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,340.0,PE,8.0,9.0,8.0,9.0,9.0,12.35,2,2160700.0,6200,6200,2,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,375.0,CE,5.55,10.0,5.5,5.85,5.65,5.85,136,161263860.0,337900,0,3,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,340.0,PE,4.8,5.7,3.1,4.8,4.85,4.8,670,715365610.0,1081900,99200,4,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,320.0,PE,0.0,0.0,0.0,16.6,0.0,6.35,0,0.0,0,0,5,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,365.0,PE,0.0,0.0,0.0,23.4,0.0,23.95,0,0.0,0,0,6,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,370.0,CE,7.0,12.3,6.5,7.45,7.0,7.45,1124,1321377170.0,1646100,-83700,7,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,330.0,CE,35.5,35.75,32.2,32.6,32.6,33.2,7,7909340.0,52700,6200,8,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,320.0,CE,0.0,0.0,0.0,57.6,0.0,51.9,0,0.0,0,0,9,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,355.0,CE,0.0,0.0,0.0,30.25,0.0,24.75,0,0.0,0,0,10,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,350.0,PE,0.0,0.0,0.0,20.3,0.0,20.6,0,0.0,0,0,11,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,290.0,CE,0.0,0.0,0.0,67.2,67.2,69.0,0,0.0,18600,0,12,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,335.0,PE,0.0,0.0,0.0,10.85,0.0,10.6,0,0.0,0,0,13,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
