trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,385.0,CE,0.0,0.0,0.0,30.75,30.75,32.0,0,0.0,0,0,1,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,405.0,CE,0.0,0.0,0.0,21.15,0.0,21.2,0,0.0,0,0,2,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,440.0,CE,5.0,5.8,5.0,5.75,5.5,5.75,13,17957525.0,58900,31000,3,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-09-29,430.0,CE,0.0,0.0,0.0,20.0,0.0,20.4,0,0.0,0,0,4,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-09-29,380.0,PE,0.0,0.0,0.0,23.3,0.0,17.25,0,0.0,0,0,5,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-09-29,350.0,PE,0.0,0.0,0.0,12.2,0.0,8.05,0,0.0,0,0,6,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,440.0,PE,0.0,0.0,0.0,78.85,0.0,44.45,0,0.0,0,0,7,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,415.0,PE,0.0,0.0,0.0,36.5,0.0,27.45,0,0.0,0,0,8,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,460.0,PE,0.0,0.0,0.0,117.8,0.0,58.0,0,0.0,0,0,9,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,380.0,PE,2.4,3.1,1.4,1.5,1.5,1.5,247,292462835.0,1317500,-80600,10,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,290.0,PE,0.0,0.0,0.0,0.1,0.1,0.0,0,0.0,9300,0,11,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,370.0,PE,1.1,1.1,0.55,0.65,0.6,0.65,59,67821490.0,508400,-24800,12,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,350.0,PE,0.35,0.35,0.2,0.25,0.25,0.3,13,14115540.0,775000,-6200,13,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,345.0,PE,0.15,0.15,0.15,0.15,0.15,0.15,3,3209895.0,55800,-6200,14,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,345.0,CE,0.0,0.0,0.0,35.95,0.0,57.35,0,0.0,0,0,15,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,410.0,CE,4.55,5.8,4.0,5.1,4.9,5.1,652,838678030.0,1968500,-111600,16,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,360.0,PE,0.4,0.4,0.25,0.3,0.3,0.7,37,41330750.0,635500,-21700,17,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-09-29,320.0,CE,0.0,0.0,0.0,82.2,0.0,88.8,0,0.0,0,0,18,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,445.0,CE,0.45,0.45,0.4,0.4,0.4,1.1,10,13808330.0,83700,0,19,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,375.0,CE,0.0,0.0,0.0,36.15,0.0,38.5,0,0.0,0,0,20,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,425.0,CE,0.0,0.0,0.0,14.15,0.0,13.3,0,0.0,0,0,21,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,445.0,CE,0.0,0.0,0.0,5.85,5.85,7.95,0,0.0,6200,0,22,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-17,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,325.0,PE,0.0,0.0,0.0,0.15,0.15,0.05,0,0.0,12400,0,23,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
